sn,name ,price
1,Mint,145.00
2,Mint,125.00
3,Mint,125.00
4,Mint,135.00
5,Mint,145.00
6,Mint,145.00
7,Mint,125.00
8,Mint,145.00
9,Mint,125.00
10,Mint,145.00
11,Mint,125.00
12,Mint,125.00
13,Mint,135.00
14,Mint,145.00
15,Mint,145.00
16,Mint,145.00
17,Mint,145.00
18,Mint,145.00
19,Mint,145.00
20,Mint,168.00
21,Mint,125.00
22,Mint,145.00
23,Mint,115.00
24,Mint,125.00
25,Mint,125.00
26,Mint,145.00
27,Mint,135.00
28,Mint,125.00
29,Mint,145.00
30,Mint,145.00
31,Mint,145.00
32,Mint,145.00
33,Mint,145.00
34,Mint,33.00
35,Mint,145.00
36,Mint,125.00
37,Mint,145.00
38,Mint,145.00
39,Mint,145.00
40,Mint,145.00
41,Mint,145.00
42,Mint,145.00
43,Mint,145.00
44,Mint,125.00
45,Mint,135.00
46,Mint,145.00
47,Mint,155.00
48,Mint,155.00
49,Mint,155.00
50,Mint,175.00
51,Mint,185.00
52,Mint,175.00
53,Mint,175.00
54,Mint,175.00
55,Mint,175.00
56,Mint,95.00
57,Mint,175.00
58,Mint,175.00
59,Mint,155.00
60,Mint,155.00
61,Mint,155.00
62,Mint,155.00
63,Mint,155.00
64,Mint,165.00
65,Mint,175.00
66,Mint,175.00
67,Mint,190.00
68,Mint,188.00
69,Mint,190.00
70,Mint,190.00
71,Mint,188.00
72,Mint,188.00
73,Mint,170.00
74,Mint,175.00
75,Mint,195.00
76,Mint,195.00
77,Mint,195.00
78,Mint,195.00
79,Mint,195.00
80,Mint,195.00
81,Mint,205.00
82,Mint,215.00
83,Mint,205.00
84,Mint,205.00
85,Mint,155.00
86,Mint,125.00
87,Mint,115.00
88,Mint,115.00
89,Mint,115.00
90,Mint,125.00
91,Mint,125.00
92,Mint,57.00
93,Mint,144.00
94,Mint,125.00
95,Mint,133.00
96,Mint,123.00
97,Mint,145.00
98,Mint,153.00
99,Mint,145.00
100,Mint,133.00
101,Mint,145.00
102,Mint,97.00
103,Mint,125.00
104,Mint,155.00
105,Mint,155.00
106,Mint,155.00
107,Mint,145.00
108,Mint,135.00
109,Mint,145.00
110,Mint,147.00
111,Mint,147.00
112,Mint,145.00
113,Mint,145.00
114,Mint,147.00
115,Mint,175.00
116,Mint,175.00
117,Mint,155.00
118,Mint,155.00
119,Mint,165.00
120,Mint,143.00
121,Mint,155.00
122,Mint,155.00
123,Mint,145.00
124,Mint,155.00
125,Mint,145.00
126,Mint,155.00
127,Mint,145.00
128,Mint,145.00
129,Mint,147.00
130,Mint,145.00
131,Mint,145.00
132,Mint,145.00
133,Mint,145.00
134,Mint,145.00
135,Mint,145.00
136,Mint,145.00
137,Mint,145.00
138,Mint,145.00
139,Mint,145.00
140,Mint,145.00
141,Mint,145.00
